"fat_thickness [mm]","Freq [MHz]","VSWR(1) []"
5,663.84125,2.13472054792061
5,665.3375,2.16356760219
5,666.83375,2.19283364740908
5,668.33,2.2225197456477
5,669.82625,2.25262691942596
5,671.3225,2.28315612450182
5,672.81875,2.31410822155667
5,674.315,2.34548394657161
5,675.81125,2.37728387969332
5,677.3075,2.40950841239744
5,678.80375,2.44215771276781
5,680.3,2.47523168872485
5,681.79625,2.50872994905447
5,683.2925,2.54265176211323
5,684.78875,2.57699601211624
5,686.285,2.61176115295356
5,687.78125,2.64694515952922
5,689.2775,2.6825454766779
5,690.77375,2.71855896578723
5,692.27,2.7549818493431
5,693.76625,2.79180965372082
5,695.2625,2.82903715066955
5,696.75875,2.86665829808303
5,698.255,2.90466618081588
5,699.75125,2.94305295249408
5,701.2475,2.98180977947923
5,702.74375,3.02092678837778
5,704.24,3.06039301873663
5,705.73625,3.10019638282878
5,707.2325,3.14032363470228
5,708.72875,3.18076035093128
5,710.225,3.22149092575738
5,711.72125,3.26249858352672
5,713.2175,3.30376541149357
5,714.71375,3.34527241615103
5,716.21,3.38699960623957
5,717.70625,3.4289261054437
5,719.2025,3.47103029749035
5,720.69875,3.51329000587946
5,722.195,3.55568270978556
5,723.69125,3.59818579675132
5,725.1875,3.64077685164408
5,726.68375,3.68343397997182
5,728.18,3.72613616208275
5,729.67625,3.76886363304838
5,731.1725,3.811598281224
5,732.66875,3.85432405668422
5,734.165,3.89702737905771
5,735.66125,3.93969753285932
5,737.1575,3.98232703737369
5,738.65375,4.02491197761044
5,740.15,4.06745228293547
5,741.64625,4.10995194076788
5,743.1425,4.15241913425052
5,744.63875,4.19486629503623
5,746.135,4.23731006520427
5,747.63125,4.27977116569614
5,749.1275,4.32227417234881
5,750.62375,4.36484720438378
5,752.12,4.4075215338393
5,753.61625,4.45033112767138
5,755.1125,4.49331213688787
5,756.60875,4.5365023489507
5,758.105,4.57994062068465
5,759.60125,4.62366630903177
5,761.0975,4.66771871622369
5,762.59375,4.71213656441317
5,764.09,4.75695751265592
5,765.58625,4.80221772654584
5,767.0825,4.84795150797754
5,768.57875,4.8941909896267
5,770.075,4.94096589597115
5,771.57125,4.98830337016558
5,773.0675,5.03622786392713
5,774.56375,5.08476108585568
5,776.06,5.13392200232221
5,777.55625,5.18372688420741
5,779.0525,5.23418939232501
5,780.54875,5.28532069427392
5,782.045,5.33712960566433
5,783.54125,5.38962274909177
5,785.0375,5.44280472482756
5,786.53375,5.49667828789067
5,788.03,5.55124452691542
5,789.52625,5.60650304099023
5,791.0225,5.66245211137656
5,792.51875,5.71908886570725
5,794.015,5.77640943288606
5,795.51125,5.83440908745956
5,797.0075,5.89308238270712
